id,label,predict_result,predict_score,predict_detail,type
1,3,3,0.30885812640190125,{'0': 0.20054961740970612, '1': 0.18347924947738647, '2': 0.30711308121681213, '3': 0.30885812640190125},predict
2,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
3,1,1,0.45499879121780396,{'0': 0.41623032093048096, '1': 0.45499879121780396, '2': 0.12677247822284698, '3': 0.0019984054379165173},predict
4,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
5,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
6,2,1,0.48149755597114563,{'0': 0.42477908730506897, '1': 0.48149755597114563, '2': 0.09309417754411697, '3': 0.0006291993777267635},predict
7,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
8,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
9,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
10,1,1,0.3871448338031769,{'0': 0.3794833719730377, '1': 0.3871448338031769, '2': 0.21627569198608398, '3': 0.01709604449570179},predict
11,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
12,1,2,0.31767696142196655,{'0': 0.2591046392917633, '1': 0.24293173849582672, '2': 0.31767696142196655, '3': 0.18028675019741058},predict
13,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
14,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
15,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
16,0,1,0.41899189352989197,{'0': 0.39900270104408264, '1': 0.41899189352989197, '2': 0.17496055364608765, '3': 0.007044793572276831},predict
17,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
18,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
19,1,1,0.43432891368865967,{'0': 0.40703874826431274, '1': 0.43432891368865967, '2': 0.15435530245304108, '3': 0.004276963882148266},predict
20,0,1,0.4360206425189972,{'0': 0.40786460041999817, '1': 0.4360206425189972, '2': 0.15207988023757935, '3': 0.004034820012748241},predict
21,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
22,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
